"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"A1",1,11,0.646,1.62,3.65,0.74,12.6,15.8,8
"A10",2,13,0.748,0.95,3.49,0.74,16.2,15.9,4
"A100",3,18,0.883,0.27,1.92,0.74,18.3,12.6,6
"A11",4,16,0.752,0.94,2.87,0.74,15.7,15.4,6
"A12",5,11,0.752,0.9,3.86,0.74,15.1,14.6,3
"A13",6,8,0.636,1.8,3.03,0.74,12.6,16.4,5
"A14",7,12,0.807,0.52,2.84,0.74,15.4,12.3,4
"A15",8,9,0.729,1.13,2.37,0.74,13,13.6,5
"A16",9,11,0.699,1.21,5.12,0.74,16.2,17.6,9
"A17",10,12,0.718,1.14,4.37,0.74,15.2,16,4
"A18",11,12,0.703,1.24,4.4,0.74,14.6,16,5
"A19",12,11,0.748,0.93,2.57,0.74,13.2,12.8,4
"A2",13,6,0.736,6.9,1.4,0.74,8.2,17,12
"A20",14,10,0.742,0.98,3.02,0.74,15.3,15.2,2
"A21",15,10,0.721,1.12,4.36,0.74,15.6,16.3,5
"A22",16,12,0.691,1.3,3.47,0.74,15.2,17.1,6
"A23",17,14,0.748,0.95,4.52,0.74,15.4,15.1,3
"A24",18,15,0.821,0.54,3.55,0.74,18.6,15.1,4
"A25",19,13,0.685,1.4,3.77,0.74,14.1,16.2,4
"A26",20,13,0.752,0.93,3.07,0.74,14.3,13.9,4
"A27",21,14,0.684,1.38,3.12,0.74,12.7,14.6,5
"A28",22,15,0.772,0.8,2.75,0.74,16,14.7,4
"A29",23,14,0.764,0.88,4.17,0.74,15.8,15,6
"A3",24,11,0.737,1.03,3.62,0.74,15.6,15.8,2
"A30",25,13,0.817,0.62,1.77,0.74,13.4,11.2,9
"A31",26,15,0.786,0.52,3,0.74,16,12.9,11
"A32",27,15,0.763,0.87,2.77,0.74,16,15.2,5
"A33",28,16,0.77,0.82,3.88,0.74,17.2,16,3
"A34",29,18,0.772,0.76,3.98,0.74,16,14.5,4
"A35",30,14,0.752,0.91,1.93,0.74,14.3,13.8,3
"A36",31,14,0.742,0.99,4.88,0.74,16.9,16.8,5
"A37",32,15,0.739,1.01,3.09,0.74,15.6,15.6,3
"A38",33,20,0.72,1.1,4.56,0.74,15.9,16.6,8
"A39",34,15,0.821,0.39,2.71,0.74,16.5,12.2,7
"A4",35,10,0.624,1.66,3.05,0.74,10.7,13.7,11
"A40",36,18,0.859,0.5,1.76,0.74,18,14.3,21
"A41",37,15,0.747,0.97,3.74,0.74,17,16.8,5
"A42",38,19,0.799,0.71,3.68,0.74,17.4,15.3,5
"A43",39,16,0.731,1.04,3.63,0.74,15.6,15.9,6
"A44",40,16,0.718,1.16,2.69,0.74,13.9,14.8,2
"A45",41,18,0.827,0.69,1.91,0.74,15.8,13.7,28
"A46",42,13,0.753,0.93,2.21,0.74,13.5,13.1,4
"A47",43,17,0.727,1.08,4.09,0.74,14.9,15.4,4
"A48",44,16,0.869,0.36,3.03,0.74,18.2,13.3,8
"A49",45,21,0.771,0.85,3.86,0.74,17.6,16.5,7
"A5",46,7,0.67,1.6,2.86,0.74,13.1,16,4
"A50",47,16,0.806,0.68,3.78,0.74,16.8,14.6,5
"A51",48,19,0.75,0.95,3.58,0.74,17.5,17.1,8
"A52",49,20,0.807,0.69,3.58,0.74,18.2,15.9,7
"A53",50,20,0.807,0.6,2.51,0.74,17,14.2,3
"A54",51,15,0.691,1.23,3.2,0.74,13.2,14.5,14
"A55",52,20,0.845,0.6,3.62,0.74,19.6,16.3,16
"A56",53,20,0.876,0.55,2.27,0.74,18,14.7,29
"A57",54,20,0.89,0.43,3.03,0.74,19.1,14.6,7
"A58",55,18,0.846,0.65,1.66,0.74,16.5,14,32
"A59",56,20,0.747,0.97,3.32,0.74,15.7,15.5,19
"A6",57,8,0.705,1.26,3.59,0.74,14.6,16,2
"A60",58,21,0.839,0.6,2.88,0.74,18,15,11
"A61",59,17,0.85,0.47,2.63,0.74,17.2,13.4,7
"A62",60,21,0.892,0.42,2.89,0.74,19.8,15.1,10
"A63",61,18,0.803,0.61,3.16,0.74,16,13.5,3
