"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"A64",62,20,0.813,0.62,3.88,0.74,18.4,15.5,5
"A65",63,18,0.8,0.76,3.99,0.74,18.2,16.3,13
"A66",64,22,0.805,0.61,3.21,0.74,17.7,14.9,4
"A67",65,21,0.824,0.61,3.32,0.74,18.7,15.7,7
"A68",66,22,0.854,0.54,3.13,0.74,20.2,16.4,11
"A69",67,20,0.72,1.08,4.22,0.74,16.6,17.2,22
"A7",68,6,0.671,1.45,2.94,0.74,12.4,14.6,7
"A70",69,17,0.792,0.72,4.01,0.74,16.9,15,4
"A71",70,21,0.773,0.84,4.4,0.74,17.1,16,6
"A72",71,17,0.727,1.07,4.64,0.74,15.8,16.2,6
"A73",72,19,0.819,0.61,3.26,0.74,17.6,14.7,7
"A74",73,21,0.85,0.53,3.37,0.74,19.5,15.7,7
"A75",74,22,0.888,0.44,2.25,0.74,21,16.2,21
"A76",75,23,0.835,0.64,3.47,0.74,20.7,17.6,15
"A77",76,21,0.739,1.01,5.11,0.74,17.1,17.1,3
"A78",77,16,0.801,0.6,3.41,0.74,16.8,14.1,3
"A79",78,19,0.711,1.12,3.46,0.74,15.3,16,24
"A8",79,10,0.759,0.8,1.97,0.74,13.2,12.2,5
"A80",80,19,0.807,0.64,3.48,0.74,17.9,15.3,4
"A81",81,23,0.83,0.64,3.08,0.74,19.7,16.7,11
"A82",82,18,0.763,0.87,2.4,0.74,16.4,15.6,4
"A83",83,21,0.859,0.5,3.98,0.74,19.9,15.7,10
"A84",84,21,0.772,0.84,4.37,0.74,17.7,16.5,5
"A85",85,22,0.842,0.66,2.33,0.74,19.5,16.7,31
"A86",86,17,0.782,0.8,2.78,0.74,14.9,13.6,6
"A87",87,21,0.806,0.68,4.13,0.74,18.3,15.8,6
"A88",88,17,0.764,0.88,3.73,0.74,17.1,16.2,5
"A89",89,20,0.892,0.38,2.78,0.74,19.8,14.7,9
"A9",90,10,0.717,1.29,2.7,0.74,12.7,14,6
"A90",91,23,0.785,0.84,2.99,0.74,18.3,17,26
"A91",92,22,0.773,0.82,3.5,0.74,17.7,16.4,4
"A92",93,19,0.814,0.48,3.34,0.74,17.2,13.4,5
"A93",94,21,0.837,0.62,3.87,0.74,18.7,15.8,16
"A94",95,19,0.914,0.44,1.8,0.74,18.4,14.3,32
"A95",96,19,0.705,1.22,3.41,0.74,14.6,15.9,5
"A96",97,21,0.706,1.13,3.66,0.74,16.7,17.7,28
"A97",98,23,0.766,0.85,4.52,0.74,17.8,16.8,4
"A98",99,22,0.774,0.76,3.3,0.74,17.3,15.7,3
"A99",100,20,0.791,0.75,2.87,0.74,17.7,15.9,7
