Location,Loc_no,No_spp,Phi_in,Alpha,Wgt_n2,Phi_out,Spnum_in,Spnum_out,Iter
HP40      ,      1,      0, -1.#IO,  1.#R,  29.25, -1.#IO,       0.0,      -1.$,  101
HP50      ,      2,      0, -1.#IO,  1.#R,  31.67, -1.#IO,       0.0,      -1.$,  101
HP51      ,      3,      0, -1.#IO,  1.#R,  30.50, -1.#IO,       0.0,      -1.$,  101
HP60      ,      4,      0, -1.#IO,  1.#R,  34.30, -1.#IO,       0.0,      -1.$,  101
HP61      ,      5,      0, -1.#IO,  1.#R,  35.10, -1.#IO,       0.0,      -1.$,  101
HP62      ,      6,      0, -1.#IO,  1.#R,  25.00, -1.#IO,       0.0,      -1.$,  101
HT93      ,      7,      0, -1.#IO,  1.#R,  26.37, -1.#IO,       0.0,      -1.$,  101
HT94      ,      8,      0, -1.#IO,  1.#R,  27.11, -1.#IO,       0.0,      -1.$,  101
HU06      ,      9,      0, -1.#IO,  1.#R,  30.22, -1.#IO,       0.0,      -1.$,  101
HU14      ,     10,      0, -1.#IO,  1.#R,  34.43, -1.#IO,       0.0,      -1.$,  101
HU15      ,     11,      0, -1.#IO,  1.#R,  32.41, -1.#IO,       0.0,      -1.$,  101
HU16      ,     12,      0, -1.#IO,  1.#R,  32.46, -1.#IO,       0.0,      -1.$,  101
HU24      ,     13,      0, -1.#IO,  1.#R,  32.03, -1.#IO,       0.0,      -1.$,  101
HU25      ,     14,      0, -1.#IO,  1.#R,  31.37, -1.#IO,       0.0,      -1.$,  101
HU26      ,     15,      0, -1.#IO,  1.#R,  41.93, -1.#IO,       0.0,      -1.$,  101
HU27      ,     16,      0, -1.#IO,  1.#R,  40.59, -1.#IO,       0.0,      -1.$,  101
HU28      ,     17,      0, -1.#IO,  1.#R,  28.35, -1.#IO,       0.0,      -1.$,  101
HU30      ,     18,      0, -1.#IO,  1.#R,  41.81, -1.#IO,       0.0,      -1.$,  101
HU31      ,     19,      0, -1.#IO,  1.#R,  42.27, -1.#IO,       0.0,      -1.$,  101
HU32      ,     20,      0, -1.#IO,  1.#R,  30.56, -1.#IO,       0.0,      -1.$,  101
HU33      ,     21,      0, -1.#IO,  1.#R,  35.13, -1.#IO,       0.0,      -1.$,  101
HU34      ,     22,      0, -1.#IO,  1.#R,  32.43, -1.#IO,       0.0,      -1.$,  101
HU35      ,     23,      0, -1.#IO,  1.#R,  29.46, -1.#IO,       0.0,      -1.$,  101
HU36      ,     24,      0, -1.#IO,  1.#R,  33.74, -1.#IO,       0.0,      -1.$,  101
HU37      ,     25,      0, -1.#IO,  1.#R,  34.83, -1.#IO,       0.0,      -1.$,  101
HU38      ,     26,      0, -1.#IO,  1.#R,  24.86, -1.#IO,       0.0,      -1.$,  101
HU39      ,     27,      0, -1.#IO,  1.#R,  31.07, -1.#IO,       0.0,      -1.$,  101
HU40      ,     28,      0, -1.#IO,  1.#R,  41.83, -1.#IO,       0.0,      -1.$,  101
HU41      ,     29,      0, -1.#IO,  1.#R,  39.33, -1.#IO,       0.0,      -1.$,  101
HU42      ,     30,      0, -1.#IO,  1.#R,  35.71, -1.#IO,       0.0,      -1.$,  101
HU43      ,     31,      0, -1.#IO,  1.#R,  30.36, -1.#IO,       0.0,      -1.$,  101
HU44      ,     32,      0, -1.#IO,  1.#R,  29.88, -1.#IO,       0.0,      -1.$,  101
HU45      ,     33,      0, -1.#IO,  1.#R,  30.78, -1.#IO,       0.0,      -1.$,  101
HU46      ,     34,      0, -1.#IO,  1.#R,  29.42, -1.#IO,       0.0,      -1.$,  101
HU47      ,     35,      0, -1.#IO,  1.#R,  31.27, -1.#IO,       0.0,      -1.$,  101
HU48      ,     36,      0, -1.#IO,  1.#R,  29.55, -1.#IO,       0.0,      -1.$,  101
HU49      ,     37,      0, -1.#IO,  1.#R,  28.67, -1.#IO,       0.0,      -1.$,  101
HU53      ,     38,      0, -1.#IO,  1.#R,  30.74, -1.#IO,       0.0,      -1.$,  101
HU54      ,     39,      0, -1.#IO,  1.#R,  36.12, -1.#IO,       0.0,      -1.$,  101
HU55      ,     40,      0, -1.#IO,  1.#R,  40.25, -1.#IO,       0.0,      -1.$,  101
HU56      ,     41,      0, -1.#IO,  1.#R,  41.87, -1.#IO,       0.0,      -1.$,  101
HU57      ,     42,      0, -1.#IO,  1.#R,  40.51, -1.#IO,       0.0,      -1.$,  101
HU58      ,     43,      0, -1.#IO,  1.#R,  29.30, -1.#IO,       0.0,      -1.$,  101
HU59      ,     44,      0, -1.#IO,  1.#R,  28.63, -1.#IO,       0.0,      -1.$,  101
HU66      ,     45,      0, -1.#IO,  1.#R,  39.71, -1.#IO,       0.0,      -1.$,  101
HU67      ,     46,      0, -1.#IO,  1.#R,  40.09, -1.#IO,       0.0,      -1.$,  101
HU68      ,     47,      0, -1.#IO,  1.#R,  33.10, -1.#IO,       0.0,      -1.$,  101
HU69      ,     48,      0, -1.#IO,  1.#R,  36.81, -1.#IO,       0.0,      -1.$,  101
HU77      ,     49,      0, -1.#IO,  1.#R,  31.43, -1.#IO,       0.0,      -1.$,  101
HY10      ,     50,      0, -1.#IO,  1.#R,  25.73, -1.#IO,       0.0,      -1.$,  101
HY20      ,     51,      0, -1.#IO,  1.#R,  32.99, -1.#IO,       0.0,      -1.$,  101
HY21      ,     52,      0, -1.#IO,  1.#R,  41.72, -1.#IO,       0.0,      -1.$,  101
HY22      ,     53,      0, -1.#IO,  1.#R,  42.34, -1.#IO,       0.0,      -1.$,  101
HY23      ,     54,      0, -1.#IO,  1.#R,  42.19, -1.#IO,       0.0,      -1.$,  101
HY30      ,     55,      0, -1.#IO,  1.#R,  37.30, -1.#IO,       0.0,      -1.$,  101
HY31      ,     56,      0, -1.#IO,  1.#R,  43.23, -1.#IO,       0.0,      -1.$,  101
HY32      ,     57,      0, -1.#IO,  1.#R,  37.64, -1.#IO,       0.0,      -1.$,  101
HY33      ,     58,      0, -1.#IO,  1.#R,  40.49, -1.#IO,       0.0,      -1.$,  101
HY34      ,     59,      0, -1.#IO,  1.#R,  37.59, -1.#IO,       0.0,      -1.$,  101
HY35      ,     60,      0, -1.#IO,  1.#R,  19.62, -1.#IO,       0.0,      -1.$,  101
HY40      ,     61,      0, -1.#IO,  1.#R,  43.19, -1.#IO,       0.0,      -1.$,  101
