"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"ND14",199,0,NA,NA,40.46,NA,0,NA,101
"ND15",200,0,NA,NA,36.86,NA,0,NA,101
"ND16",201,0,NA,NA,37.35,NA,0,NA,101
"ND17",202,0,NA,NA,40.71,NA,0,NA,101
"ND19",203,0,NA,NA,27.57,NA,0,NA,101
"ND23",204,0,NA,NA,30.4,NA,0,NA,101
"ND24",205,0,NA,NA,36.69,NA,0,NA,101
"ND25",206,0,NA,NA,38.22,NA,0,NA,101
"ND26",207,0,NA,NA,39.77,NA,0,NA,101
"ND27",208,0,NA,NA,44.42,NA,0,NA,101
"ND28",209,0,NA,NA,41.97,NA,0,NA,101
"ND29",210,0,NA,NA,27.82,NA,0,NA,101
"ND33",211,0,NA,NA,32.62,NA,0,NA,101
"ND34",212,0,NA,NA,38.7,NA,0,NA,101
"ND35",213,0,NA,NA,37.99,NA,0,NA,101
"ND36",214,0,NA,NA,38.1,NA,0,NA,101
"ND37",215,0,NA,NA,41.59,NA,0,NA,101
"ND38",216,0,NA,NA,42.94,NA,0,NA,101
"ND39",217,0,NA,NA,43.67,NA,0,NA,101
"ND47",218,0,NA,NA,43.87,NA,0,NA,101
"ND48",219,0,NA,NA,43.49,NA,0,NA,101
"ND49",220,0,NA,NA,42.77,NA,0,NA,101
"ND59",221,0,NA,NA,43.11,NA,0,NA,101
"NF56",222,0,NA,NA,34.25,NA,0,NA,101
"NF60",223,0,NA,NA,37.26,NA,0,NA,101
"NF61",224,0,NA,NA,41.52,NA,0,NA,101
"NF66",225,0,NA,NA,31.55,NA,0,NA,101
"NF67",226,0,NA,NA,33.66,NA,0,NA,101
"NF70",227,0,NA,NA,39.29,NA,0,NA,101
"NF71",228,0,NA,NA,40.53,NA,0,NA,101
"NF72",229,0,NA,NA,35.58,NA,0,NA,101
"NF73",230,0,NA,NA,40.27,NA,0,NA,101
"NF74",231,0,NA,NA,38.45,NA,0,NA,101
"NF75",232,0,NA,NA,35.11,NA,0,NA,101
"NF76",233,0,NA,NA,39.3,NA,0,NA,101
"NF77",234,0,NA,NA,40.92,NA,0,NA,101
"NF80",235,0,NA,NA,41.9,NA,0,NA,101
"NF81",236,0,NA,NA,29.15,NA,0,NA,101
"NF82",237,0,NA,NA,29.96,NA,0,NA,101
"NF83",238,0,NA,NA,34.35,NA,0,NA,101
"NF84",239,0,NA,NA,37.96,NA,0,NA,101
"NF85",240,0,NA,NA,40.75,NA,0,NA,101
"NF86",241,0,NA,NA,45.1,NA,0,NA,101
"NF87",242,0,NA,NA,44.11,NA,0,NA,101
"NF88",243,0,NA,NA,27.13,NA,0,NA,101
"NF89",244,0,NA,NA,30.91,NA,0,NA,101
"NF95",245,0,NA,NA,36.76,NA,0,NA,101
"NF96",246,0,NA,NA,37.33,NA,0,NA,101
"NF97",247,0,NA,NA,39.11,NA,0,NA,101
"NF98",248,0,NA,NA,31.84,NA,0,NA,101
"NF99",249,0,NA,NA,20.78,NA,0,NA,101
"NG07",250,0,NA,NA,46.29,NA,0,NA,101
"NG08",251,0,NA,NA,35.45,NA,0,NA,101
"NG09",252,0,NA,NA,33.52,NA,0,NA,101
"NG13",253,0,NA,NA,34.6,NA,0,NA,101
"NG14",254,0,NA,NA,34.42,NA,0,NA,101
"NG15",255,0,NA,NA,41.74,NA,0,NA,101
"NG18",256,0,NA,NA,34.51,NA,0,NA,101
"NG19",257,0,NA,NA,40.68,NA,0,NA,101
"NG20",258,0,NA,NA,36.63,NA,0,NA,101
"NG23",259,0,NA,NA,33.26,NA,0,NA,101
"NG24",260,0,NA,NA,36.38,NA,0,NA,101
"NG25",261,0,NA,NA,39.31,NA,0,NA,101
"NG26",262,0,NA,NA,42.67,NA,0,NA,101
"NG29",263,0,NA,NA,36.2,NA,0,NA,101
"NG30",264,0,NA,NA,34.03,NA,0,NA,101
"NG31",265,0,NA,NA,34.48,NA,0,NA,101
"NG32",266,0,NA,NA,32,NA,0,NA,101
"NG33",267,0,NA,NA,34.41,NA,0,NA,101
"NG34",268,0,NA,NA,33.12,NA,0,NA,101
"NG35",269,0,NA,NA,38.99,NA,0,NA,101
"NG36",270,0,NA,NA,33.16,NA,0,NA,101
"NG37",271,0,NA,NA,31.11,NA,0,NA,101
"NG38",272,0,NA,NA,30.06,NA,0,NA,101
"NG39",273,0,NA,NA,27.27,NA,0,NA,101
"NG40",274,0,NA,NA,31.05,NA,0,NA,101
"NG41",275,0,NA,NA,31.6,NA,0,NA,101
"NG42",276,0,NA,NA,28.29,NA,0,NA,101
"NG43",277,0,NA,NA,28.26,NA,0,NA,101
"NG44",278,0,NA,NA,32.77,NA,0,NA,101
"NG45",279,0,NA,NA,35.66,NA,0,NA,101
"NG46",280,0,NA,NA,36.54,NA,0,NA,101
"NG47",281,0,NA,NA,30.97,NA,0,NA,101
"NG49",282,0,NA,NA,25.16,NA,0,NA,101
"NG50",283,0,NA,NA,33.13,NA,0,NA,101
"NG51",284,0,NA,NA,34.32,NA,0,NA,101
"NG52",285,0,NA,NA,37.55,NA,0,NA,101
"NG53",286,0,NA,NA,28.34,NA,0,NA,101
"NG54",287,0,NA,NA,33.11,NA,0,NA,101
"NG55",288,0,NA,NA,31.57,NA,0,NA,101
"NG56",289,0,NA,NA,32.52,NA,0,NA,101
"NG60",290,0,NA,NA,32.63,NA,0,NA,101
"NG61",291,0,NA,NA,30.91,NA,0,NA,101
"NG62",292,0,NA,NA,28.38,NA,0,NA,101
"NG63",293,0,NA,NA,34.64,NA,0,NA,101
"NG64",294,0,NA,NA,33.25,NA,0,NA,101
"NG65",295,0,NA,NA,36.83,NA,0,NA,101
"NG66",296,0,NA,NA,34.76,NA,0,NA,101
"NG70",297,0,NA,NA,36.73,NA,0,NA,101
"NG71",298,0,NA,NA,35.73,NA,0,NA,101
"NG72",299,0,NA,NA,32.21,NA,0,NA,101
"NG73",300,0,NA,NA,34.92,NA,0,NA,101
"NG74",301,0,NA,NA,37.13,NA,0,NA,101
"NG75",302,0,NA,NA,36.11,NA,0,NA,101
"NG76",303,0,NA,NA,35.22,NA,0,NA,101
"NG77",304,0,NA,NA,37.53,NA,0,NA,101
"NG78",305,0,NA,NA,32.51,NA,0,NA,101
"NG79",306,0,NA,NA,34.96,NA,0,NA,101
"NG80",307,0,NA,NA,36.24,NA,0,NA,101
"NG81",308,0,NA,NA,37.35,NA,0,NA,101
"NG82",309,0,NA,NA,35.4,NA,0,NA,101
"NG83",310,0,NA,NA,30.43,NA,0,NA,101
"NG84",311,0,NA,NA,40.22,NA,0,NA,101
"NG85",312,0,NA,NA,37.98,NA,0,NA,101
"NG86",313,0,NA,NA,38.92,NA,0,NA,101
"NG87",314,0,NA,NA,39.63,NA,0,NA,101
"NG88",315,0,NA,NA,38.95,NA,0,NA,101
"NG89",316,0,NA,NA,42.04,NA,0,NA,101
"NG90",317,0,NA,NA,38.74,NA,0,NA,101
"NG91",318,0,NA,NA,36.15,NA,0,NA,101
"NG92",319,0,NA,NA,36.9,NA,0,NA,101
"NG93",320,0,NA,NA,35.08,NA,0,NA,101
"NG94",321,0,NA,NA,38.66,NA,0,NA,101
"NG95",322,0,NA,NA,41.63,NA,0,NA,101
"NG96",323,0,NA,NA,40.7,NA,0,NA,101
"NG97",324,0,NA,NA,38.15,NA,0,NA,101
"NG98",325,0,NA,NA,42.29,NA,0,NA,101
"NG99",326,0,NA,NA,43.23,NA,0,NA,101
"NH00",327,0,NA,NA,40.13,NA,0,NA,101
"NH01",328,0,NA,NA,37.76,NA,0,NA,101
"NH02",329,0,NA,NA,35.96,NA,0,NA,101
"NH03",330,0,NA,NA,36.29,NA,0,NA,101
"NH04",331,0,NA,NA,37.21,NA,0,NA,101
"NH05",332,0,NA,NA,39.2,NA,0,NA,101
"NH06",333,0,NA,NA,32.97,NA,0,NA,101
"NH07",334,0,NA,NA,41.48,NA,0,NA,101
"NH08",335,0,NA,NA,41.96,NA,0,NA,101
"NH09",336,0,NA,NA,43.15,NA,0,NA,101
"NH10",337,0,NA,NA,40.93,NA,0,NA,101
"NH11",338,0,NA,NA,38.66,NA,0,NA,101
"NH12",339,0,NA,NA,38.06,NA,0,NA,101
"NH13",340,0,NA,NA,37.39,NA,0,NA,101
"NH14",341,0,NA,NA,37.46,NA,0,NA,101
"NH15",342,0,NA,NA,34.06,NA,0,NA,101
"NH16",343,0,NA,NA,27.84,NA,0,NA,101
"NH17",344,0,NA,NA,29.73,NA,0,NA,101
"NH18",345,0,NA,NA,36.15,NA,0,NA,101
"NH19",346,0,NA,NA,42.58,NA,0,NA,101
"NH20",347,0,NA,NA,37.86,NA,0,NA,101
"NH21",348,0,NA,NA,36.09,NA,0,NA,101
"NH22",349,0,NA,NA,32.22,NA,0,NA,101
"NH23",350,0,NA,NA,37.65,NA,0,NA,101
"NH24",351,0,NA,NA,37.59,NA,0,NA,101
"NH25",352,0,NA,NA,34.26,NA,0,NA,101
"NH26",353,0,NA,NA,25.95,NA,0,NA,101
"NH27",354,0,NA,NA,39.27,NA,0,NA,101
"NH28",355,0,NA,NA,36.38,NA,0,NA,101
"NH29",356,0,NA,NA,38.62,NA,0,NA,101
"NH30",357,0,NA,NA,31.12,NA,0,NA,101
"NH31",358,0,NA,NA,32.99,NA,0,NA,101
"NH32",359,0,NA,NA,34.33,NA,0,NA,101
"NH33",360,0,NA,NA,34.47,NA,0,NA,101
"NH34",361,0,NA,NA,37.03,NA,0,NA,101
"NH35",362,0,NA,NA,34.69,NA,0,NA,101
"NH36",363,0,NA,NA,33.66,NA,0,NA,101
"NH37",364,0,NA,NA,34.28,NA,0,NA,101
"NH38",365,0,NA,NA,36.5,NA,0,NA,101
"NH39",366,0,NA,NA,34.45,NA,0,NA,101
"NH40",367,0,NA,NA,38.51,NA,0,NA,101
"NH41",368,0,NA,NA,29.88,NA,0,NA,101
"NH42",369,0,NA,NA,31.72,NA,0,NA,101
"NH43",370,0,NA,NA,33.59,NA,0,NA,101
"NH44",371,0,NA,NA,37.16,NA,0,NA,101
"NH45",372,0,NA,NA,37.57,NA,0,NA,101
"NH46",373,0,NA,NA,35.69,NA,0,NA,101
"NH47",374,0,NA,NA,38.58,NA,0,NA,101
"NH48",375,0,NA,NA,37.64,NA,0,NA,101
"NH49",376,0,NA,NA,31.54,NA,0,NA,101
"NH50",377,0,NA,NA,38.89,NA,0,NA,101
"NH51",378,0,NA,NA,33.05,NA,0,NA,101
"NH52",379,0,NA,NA,31.45,NA,0,NA,101
"NH53",380,0,NA,NA,31.59,NA,0,NA,101
"NH54",381,0,NA,NA,36.51,NA,0,NA,101
"NH55",382,0,NA,NA,37.8,NA,0,NA,101
"NH56",383,0,NA,NA,40,NA,0,NA,101
"NH57",384,0,NA,NA,36.93,NA,0,NA,101
"NH58",385,0,NA,NA,36.08,NA,0,NA,101
"NH59",386,0,NA,NA,32.6,NA,0,NA,101
"NH60",387,0,NA,NA,38.31,NA,0,NA,101
"NH61",388,0,NA,NA,36.52,NA,0,NA,101
"NH62",389,0,NA,NA,30.71,NA,0,NA,101
"NH63",390,0,NA,NA,32.17,NA,0,NA,101
"NH64",391,0,NA,NA,37.53,NA,0,NA,101
"NH65",392,0,NA,NA,40.35,NA,0,NA,101
"NH66",393,0,NA,NA,40.89,NA,0,NA,101
"NH67",394,0,NA,NA,40.27,NA,0,NA,101
"NH68",395,0,NA,NA,32.76,NA,0,NA,101
"NH69",396,0,NA,NA,30.9,NA,0,NA,101
"NH70",397,0,NA,NA,34.84,NA,0,NA,101
"NH71",398,0,NA,NA,36.83,NA,0,NA,101
"NH72",399,0,NA,NA,27.62,NA,0,NA,101
"NH73",400,0,NA,NA,29.09,NA,0,NA,101
"NH74",401,0,NA,NA,37.29,NA,0,NA,101
"NH75",402,0,NA,NA,40.76,NA,0,NA,101
"NH76",403,0,NA,NA,41.4,NA,0,NA,101
"NH77",404,0,NA,NA,40.5,NA,0,NA,101
"NH78",405,0,NA,NA,38.04,NA,0,NA,101
"NH79",406,0,NA,NA,30.78,NA,0,NA,101
"NH80",407,0,NA,NA,31.87,NA,0,NA,101
"NH81",408,0,NA,NA,33.42,NA,0,NA,101
"NH82",409,0,NA,NA,30.61,NA,0,NA,101
"NH83",410,0,NA,NA,26.59,NA,0,NA,101
"NH84",411,0,NA,NA,35.12,NA,0,NA,101
"NH85",412,0,NA,NA,40.02,NA,0,NA,101
"NH86",413,0,NA,NA,38.96,NA,0,NA,101
"NH87",414,0,NA,NA,38.84,NA,0,NA,101
"NH88",415,0,NA,NA,36.61,NA,0,NA,101
"NH89",416,0,NA,NA,36.88,NA,0,NA,101
"NH90",417,0,NA,NA,39.41,NA,0,NA,101
"NH91",418,0,NA,NA,32.17,NA,0,NA,101
"NH92",419,0,NA,NA,31.3,NA,0,NA,101
"NH93",420,0,NA,NA,25.14,NA,0,NA,101
"NH94",421,0,NA,NA,38.06,NA,0,NA,101
"NH95",422,0,NA,NA,41.99,NA,0,NA,101
"NH96",423,0,NA,NA,43.2,NA,0,NA,101
"NH97",424,0,NA,NA,39.83,NA,0,NA,101
"NH98",425,0,NA,NA,35.28,NA,0,NA,101
"NJ00",426,0,NA,NA,39.29,NA,0,NA,101
"NJ01",427,0,NA,NA,34.54,NA,0,NA,101
"NJ02",428,0,NA,NA,31.28,NA,0,NA,101
"NJ03",429,0,NA,NA,27.45,NA,0,NA,101
"NJ04",430,0,NA,NA,27.85,NA,0,NA,101
"NJ05",431,0,NA,NA,40.9,NA,0,NA,101
"NJ06",432,0,NA,NA,38.77,NA,0,NA,101
"NJ10",433,0,NA,NA,38.84,NA,0,NA,101
"NJ11",434,0,NA,NA,37.4,NA,0,NA,101
"NJ12",435,0,NA,NA,31.22,NA,0,NA,101
"NJ13",436,0,NA,NA,24.17,NA,0,NA,101
"NJ14",437,0,NA,NA,30.36,NA,0,NA,101
"NJ15",438,0,NA,NA,41.21,NA,0,NA,101
"NJ16",439,0,NA,NA,36.12,NA,0,NA,101
"NJ17",440,0,NA,NA,37.26,NA,0,NA,101
"NJ20",441,0,NA,NA,39.18,NA,0,NA,101
"NJ21",442,0,NA,NA,37.25,NA,0,NA,101
"NJ22",443,0,NA,NA,30.21,NA,0,NA,101
"NJ23",444,0,NA,NA,26.26,NA,0,NA,101
"NJ24",445,0,NA,NA,38.21,NA,0,NA,101
"NJ25",446,0,NA,NA,39.3,NA,0,NA,101
"NJ26",447,0,NA,NA,37.18,NA,0,NA,101
"NJ27",448,0,NA,NA,32.17,NA,0,NA,101
"NJ30",449,0,NA,NA,35.39,NA,0,NA,101
"NJ31",450,0,NA,NA,35.3,NA,0,NA,101
"NJ32",451,0,NA,NA,33.43,NA,0,NA,101
"NJ33",452,0,NA,NA,26.15,NA,0,NA,101
"NJ34",453,0,NA,NA,38.23,NA,0,NA,101
"NJ35",454,0,NA,NA,38.15,NA,0,NA,101
"NJ36",455,0,NA,NA,39.92,NA,0,NA,101
"NJ40",456,0,NA,NA,35.3,NA,0,NA,101
"NJ41",457,0,NA,NA,34.89,NA,0,NA,101
"NJ42",458,0,NA,NA,31.43,NA,0,NA,101
"NJ43",459,0,NA,NA,32.94,NA,0,NA,101
"NJ44",460,0,NA,NA,36.65,NA,0,NA,101
"NJ45",461,0,NA,NA,39.08,NA,0,NA,101
"NJ46",462,0,NA,NA,39.53,NA,0,NA,101
"NJ50",463,0,NA,NA,29.51,NA,0,NA,101
"NJ51",464,0,NA,NA,31.9,NA,0,NA,101
"NJ52",465,0,NA,NA,33.49,NA,0,NA,101
"NJ53",466,0,NA,NA,35.51,NA,0,NA,101
"NJ54",467,0,NA,NA,38.77,NA,0,NA,101
"NJ55",468,0,NA,NA,39.79,NA,0,NA,101
"NJ56",469,0,NA,NA,41.25,NA,0,NA,101
"NJ60",470,0,NA,NA,30.69,NA,0,NA,101
"NJ61",471,0,NA,NA,32.74,NA,0,NA,101
"NJ62",472,0,NA,NA,35.85,NA,0,NA,101
"NJ63",473,0,NA,NA,38.16,NA,0,NA,101
"NJ64",474,0,NA,NA,36.94,NA,0,NA,101
"NJ65",475,0,NA,NA,40.02,NA,0,NA,101
"NJ66",476,0,NA,NA,39.58,NA,0,NA,101
"NJ70",477,0,NA,NA,32.63,NA,0,NA,101
