"Location","Loc_no","No_spp","Phi_in","Alpha","Wgt_n2","Phi_out","Spnum_in","Spnum_out","Iter"
"HP40",1,0,NA,NA,29.25,NA,0,NA,101
"HP50",2,0,NA,NA,31.67,NA,0,NA,101
"HP51",3,0,NA,NA,30.5,NA,0,NA,101
"HP60",4,0,NA,NA,34.3,NA,0,NA,101
"HP61",5,0,NA,NA,35.1,NA,0,NA,101
"HP62",6,0,NA,NA,25,NA,0,NA,101
"HT93",7,0,NA,NA,26.37,NA,0,NA,101
"HT94",8,0,NA,NA,27.11,NA,0,NA,101
"HU06",9,0,NA,NA,30.22,NA,0,NA,101
"HU14",10,0,NA,NA,34.43,NA,0,NA,101
"HU15",11,0,NA,NA,32.41,NA,0,NA,101
"HU16",12,0,NA,NA,32.46,NA,0,NA,101
"HU24",13,0,NA,NA,32.03,NA,0,NA,101
"HU25",14,0,NA,NA,31.37,NA,0,NA,101
"HU26",15,0,NA,NA,41.93,NA,0,NA,101
"HU27",16,0,NA,NA,40.59,NA,0,NA,101
"HU28",17,0,NA,NA,28.35,NA,0,NA,101
"HU30",18,0,NA,NA,41.81,NA,0,NA,101
"HU31",19,0,NA,NA,42.27,NA,0,NA,101
"HU32",20,0,NA,NA,30.56,NA,0,NA,101
"HU33",21,0,NA,NA,35.13,NA,0,NA,101
"HU34",22,0,NA,NA,32.43,NA,0,NA,101
"HU35",23,0,NA,NA,29.46,NA,0,NA,101
"HU36",24,0,NA,NA,33.74,NA,0,NA,101
"HU37",25,0,NA,NA,34.83,NA,0,NA,101
"HU38",26,0,NA,NA,24.86,NA,0,NA,101
"HU39",27,0,NA,NA,31.07,NA,0,NA,101
"HU40",28,0,NA,NA,41.83,NA,0,NA,101
"HU41",29,0,NA,NA,39.33,NA,0,NA,101
"HU42",30,0,NA,NA,35.71,NA,0,NA,101
"HU43",31,0,NA,NA,30.36,NA,0,NA,101
"HU44",32,0,NA,NA,29.88,NA,0,NA,101
"HU45",33,0,NA,NA,30.78,NA,0,NA,101
"HU46",34,0,NA,NA,29.42,NA,0,NA,101
"HU47",35,0,NA,NA,31.27,NA,0,NA,101
"HU48",36,0,NA,NA,29.55,NA,0,NA,101
"HU49",37,0,NA,NA,28.67,NA,0,NA,101
"HU53",38,0,NA,NA,30.74,NA,0,NA,101
"HU54",39,0,NA,NA,36.12,NA,0,NA,101
"HU55",40,0,NA,NA,40.25,NA,0,NA,101
"HU56",41,0,NA,NA,41.87,NA,0,NA,101
"HU57",42,0,NA,NA,40.51,NA,0,NA,101
"HU58",43,0,NA,NA,29.3,NA,0,NA,101
"HU59",44,0,NA,NA,28.63,NA,0,NA,101
"HU66",45,0,NA,NA,39.71,NA,0,NA,101
"HU67",46,0,NA,NA,40.09,NA,0,NA,101
"HU68",47,0,NA,NA,33.1,NA,0,NA,101
"HU69",48,0,NA,NA,36.81,NA,0,NA,101
"HU77",49,0,NA,NA,31.43,NA,0,NA,101
"HY10",50,0,NA,NA,25.73,NA,0,NA,101
"HY20",51,0,NA,NA,32.99,NA,0,NA,101
"HY21",52,0,NA,NA,41.72,NA,0,NA,101
"HY22",53,0,NA,NA,42.34,NA,0,NA,101
"HY23",54,0,NA,NA,42.19,NA,0,NA,101
"HY30",55,0,NA,NA,37.3,NA,0,NA,101
"HY31",56,0,NA,NA,43.23,NA,0,NA,101
"HY32",57,0,NA,NA,37.64,NA,0,NA,101
"HY33",58,0,NA,NA,40.49,NA,0,NA,101
"HY34",59,0,NA,NA,37.59,NA,0,NA,101
"HY35",60,0,NA,NA,19.62,NA,0,NA,101
"HY40",61,0,NA,NA,43.19,NA,0,NA,101
"HY41",62,0,NA,NA,42.24,NA,0,NA,101
"HY42",63,0,NA,NA,42.48,NA,0,NA,101
"HY43",64,0,NA,NA,44.11,NA,0,NA,101
"HY44",65,0,NA,NA,43.4,NA,0,NA,101
"HY45",66,0,NA,NA,43.77,NA,0,NA,101
"HY50",67,0,NA,NA,42.81,NA,0,NA,101
"HY51",68,0,NA,NA,42.65,NA,0,NA,101
"HY52",69,0,NA,NA,41.8,NA,0,NA,101
"HY53",70,0,NA,NA,42.55,NA,0,NA,101
"HY54",71,0,NA,NA,42.51,NA,0,NA,101
"HY55",72,0,NA,NA,44.69,NA,0,NA,101
"HY60",73,0,NA,NA,38.62,NA,0,NA,101
"HY61",74,0,NA,NA,43.11,NA,0,NA,101
"HY62",75,0,NA,NA,41.11,NA,0,NA,101
"HY63",76,0,NA,NA,41.13,NA,0,NA,101
"HY64",77,0,NA,NA,42.07,NA,0,NA,101
"HY73",78,0,NA,NA,31.02,NA,0,NA,101
"HY74",79,0,NA,NA,39.63,NA,0,NA,101
"HY75",80,0,NA,NA,39,NA,0,NA,101
"NA81",81,0,NA,NA,32.61,NA,0,NA,101
"NA90",82,0,NA,NA,32.83,NA,0,NA,101
"NA91",83,0,NA,NA,24.16,NA,0,NA,101
"NA92",84,0,NA,NA,37.08,NA,0,NA,101
"NA93",85,0,NA,NA,30.13,NA,0,NA,101
"NB00",86,0,NA,NA,39.12,NA,0,NA,101
"NB01",87,0,NA,NA,34.06,NA,0,NA,101
"NB02",88,0,NA,NA,37.82,NA,0,NA,101
"NB03",89,0,NA,NA,40.09,NA,0,NA,101
"NB10",90,0,NA,NA,36.76,NA,0,NA,101
"NB11",91,0,NA,NA,33.14,NA,0,NA,101
"NB12",92,0,NA,NA,39.75,NA,0,NA,101
"NB13",93,0,NA,NA,37.96,NA,0,NA,101
"NB14",94,0,NA,NA,28.88,NA,0,NA,101
"NB20",95,0,NA,NA,36.39,NA,0,NA,101
"NB21",96,0,NA,NA,32.04,NA,0,NA,101
"NB22",97,0,NA,NA,36.93,NA,0,NA,101
"NB23",98,0,NA,NA,38.73,NA,0,NA,101
"NB24",99,0,NA,NA,37.99,NA,0,NA,101
"NB25",100,0,NA,NA,19.97,NA,0,NA,101
"NB30",101,0,NA,NA,32.08,NA,0,NA,101
"NB31",102,0,NA,NA,34.15,NA,0,NA,101
"NB32",103,0,NA,NA,38.39,NA,0,NA,101
"NB33",104,0,NA,NA,38.13,NA,0,NA,101
"NB34",105,0,NA,NA,36.81,NA,0,NA,101
"NB35",106,0,NA,NA,35.52,NA,0,NA,101
"NB40",107,0,NA,NA,37.04,NA,0,NA,101
"NB41",108,0,NA,NA,32.29,NA,0,NA,101
"NB42",109,0,NA,NA,37.01,NA,0,NA,101
"NB43",110,0,NA,NA,33.03,NA,0,NA,101
"NB44",111,0,NA,NA,35.04,NA,0,NA,101
"NB45",112,0,NA,NA,33.68,NA,0,NA,101
"NB46",113,0,NA,NA,28.8,NA,0,NA,101
"NB52",114,0,NA,NA,34.17,NA,0,NA,101
"NB53",115,0,NA,NA,34.24,NA,0,NA,101
"NB54",116,0,NA,NA,32.55,NA,0,NA,101
"NB55",117,0,NA,NA,33.09,NA,0,NA,101
"NB56",118,0,NA,NA,25.96,NA,0,NA,101
"NB90",119,0,NA,NA,41.44,NA,0,NA,101
"NB91",120,0,NA,NA,37.11,NA,0,NA,101
"NC00",121,0,NA,NA,42.71,NA,0,NA,101
"NC01",122,0,NA,NA,41.73,NA,0,NA,101
"NC02",123,0,NA,NA,39.85,NA,0,NA,101
"NC03",124,0,NA,NA,37.39,NA,0,NA,101
"NC10",125,0,NA,NA,42.05,NA,0,NA,101
"NC11",126,0,NA,NA,42.39,NA,0,NA,101
"NC12",127,0,NA,NA,40.3,NA,0,NA,101
"NC13",128,0,NA,NA,38.33,NA,0,NA,101
"NC14",129,0,NA,NA,37.01,NA,0,NA,101
"NC15",130,0,NA,NA,35.68,NA,0,NA,101
"NC16",131,0,NA,NA,34,NA,0,NA,101
"NC20",132,0,NA,NA,35.77,NA,0,NA,101
"NC21",133,0,NA,NA,41.53,NA,0,NA,101
"NC22",134,0,NA,NA,41.13,NA,0,NA,101
"NC23",135,0,NA,NA,38.61,NA,0,NA,101
"NC24",136,0,NA,NA,36.55,NA,0,NA,101
"NC25",137,0,NA,NA,38.44,NA,0,NA,101
"NC26",138,0,NA,NA,35.92,NA,0,NA,101
"NC27",139,0,NA,NA,36.29,NA,0,NA,101
"NC30",140,0,NA,NA,30.95,NA,0,NA,101
"NC31",141,0,NA,NA,37.52,NA,0,NA,101
"NC32",142,0,NA,NA,43.65,NA,0,NA,101
"NC33",143,0,NA,NA,38.17,NA,0,NA,101
"NC34",144,0,NA,NA,38.62,NA,0,NA,101
"NC35",145,0,NA,NA,38.97,NA,0,NA,101
"NC36",146,0,NA,NA,39.15,NA,0,NA,101
"NC37",147,0,NA,NA,37.5,NA,0,NA,101
"NC40",148,0,NA,NA,32.97,NA,0,NA,101
"NC41",149,0,NA,NA,40.4,NA,0,NA,101
"NC42",150,0,NA,NA,39.87,NA,0,NA,101
"NC43",151,0,NA,NA,39.81,NA,0,NA,101
"NC44",152,0,NA,NA,39.74,NA,0,NA,101
"NC45",153,0,NA,NA,40.05,NA,0,NA,101
"NC46",154,0,NA,NA,37.95,NA,0,NA,101
"NC50",155,0,NA,NA,31.28,NA,0,NA,101
"NC51",156,0,NA,NA,30.01,NA,0,NA,101
"NC52",157,0,NA,NA,37.73,NA,0,NA,101
"NC53",158,0,NA,NA,38.99,NA,0,NA,101
"NC54",159,0,NA,NA,39.98,NA,0,NA,101
"NC55",160,0,NA,NA,40.68,NA,0,NA,101
"NC56",161,0,NA,NA,40.11,NA,0,NA,101
"NC60",162,0,NA,NA,33.64,NA,0,NA,101
"NC61",163,0,NA,NA,37.17,NA,0,NA,101
"NC62",164,0,NA,NA,39.26,NA,0,NA,101
"NC63",165,0,NA,NA,40.38,NA,0,NA,101
"NC64",166,0,NA,NA,43.19,NA,0,NA,101
"NC65",167,0,NA,NA,43.16,NA,0,NA,101
"NC66",168,0,NA,NA,32.21,NA,0,NA,101
"NC70",169,0,NA,NA,32.91,NA,0,NA,101
"NC71",170,0,NA,NA,37.54,NA,0,NA,101
"NC72",171,0,NA,NA,41.03,NA,0,NA,101
"NC73",172,0,NA,NA,42.17,NA,0,NA,101
"NC74",173,0,NA,NA,44.84,NA,0,NA,101
"NC75",174,0,NA,NA,44.04,NA,0,NA,101
"NC76",175,0,NA,NA,38.07,NA,0,NA,101
"NC80",176,0,NA,NA,23.26,NA,0,NA,101
"NC81",177,0,NA,NA,35.02,NA,0,NA,101
"NC82",178,0,NA,NA,38.6,NA,0,NA,101
"NC83",179,0,NA,NA,44.14,NA,0,NA,101
"NC84",180,0,NA,NA,43.18,NA,0,NA,101
"NC85",181,0,NA,NA,44.58,NA,0,NA,101
"NC86",182,0,NA,NA,44.11,NA,0,NA,101
"NC90",183,0,NA,NA,30,NA,0,NA,101
"NC91",184,0,NA,NA,23.69,NA,0,NA,101
"NC92",185,0,NA,NA,35.38,NA,0,NA,101
"NC93",186,0,NA,NA,41,NA,0,NA,101
"NC94",187,0,NA,NA,41.93,NA,0,NA,101
"NC95",188,0,NA,NA,42.82,NA,0,NA,101
"NC96",189,0,NA,NA,40.05,NA,0,NA,101
"ND01",190,0,NA,NA,26.68,NA,0,NA,101
"ND02",191,0,NA,NA,38.72,NA,0,NA,101
"ND03",192,0,NA,NA,40.67,NA,0,NA,101
"ND04",193,0,NA,NA,39.94,NA,0,NA,101
"ND05",194,0,NA,NA,41.45,NA,0,NA,101
"ND06",195,0,NA,NA,35.83,NA,0,NA,101
"ND07",196,0,NA,NA,39.37,NA,0,NA,101
"ND12",197,0,NA,NA,38.2,NA,0,NA,101
"ND13",198,0,NA,NA,39.52,NA,0,NA,101
